rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,avg_comments,engagement,engagement_rate_pct,engagement_rate_decimal,likes_per_post_from_total,likes_per_post,following,followers_following_ratio,log1p_followers,log1p_posts,log1p_total_likes,log1p_likes_per_post,caption_len,hashtag_count,mention_count,url_count,days_since_last_post,account_age_days,posts_per_day,posts_per_month,verified_binary,followers_times_engrate
78,chrishemsworth,86,880.0,55900000.0,2800000.0,3.69,2100000.0,2500000000.0,Australia,0.0,2800000.0,5.008944543828265,0.05008944543828265,2840909.090909091,2800000.0,,,17.839074956014414,6.78105762593618,21.639556569220566,14.845130332288226,,,,,,,,,0,2800000.0
79,karolg,83,3300.0,55600000.0,3100000.0,10.25,5700000.0,10100000000.0,India,0.0,3100000.0,5.575539568345324,0.05575539568345324,3060606.0606060605,3100000.0,,,17.833693777206424,8.101980731853192,23.035801260892637,14.946912992035967,,,,,,,,,0,3100000.0
80,paulpogba,80,1300.0,55200000.0,1400000.0,0.85,462600.0,1800000000.0,France,0.0,1400000.0,2.536231884057971,0.025362318840579712,1384615.3846153845,1400000.0,,,17.826473529363266,7.170888478512505,21.311052502404085,14.151983508870947,,,,,,,,,0,1400000.0
81,iamzlatanibrahimovic,86,870.0,55100000.0,1500000.0,1.53,837100.0,1300000000.0,Unknown,0.0,1500000.0,2.722323049001815,0.02722323049001815,1494252.8735632184,1500000.0,,,17.824660292271965,6.769641976852503,20.985630102183134,14.220976332738882,,,,,,,,,0,1500000.0
82,leonardodicaprio,86,1700.0,54600000.0,395500.0,0.2,107600.0,669300000.0,Unknown,0.0,395500.0,0.7243589743589743,0.0072435897435897435,393705.8823529412,395500.0,,,17.81554445903015,7.438971592395862,20.321742949564968,12.887908594631655,,,,,,,,,0,395500.0
83,juventus,87,10000.0,54500000.0,194800.0,0.25,135500.0,1900000000.0,Unknown,0.0,194800.0,0.35743119266055046,0.0035743119266055047,190000.0,194800.0,,,17.813711277982097,9.210440366976517,21.365119723645122,12.179733803647622,,,,,,,,,0,194800.0
84,zacefron,86,660.0,54500000.0,2300000.0,8.18,4400000.0,1500000000.0,United States,0.0,2300000.0,4.220183486238533,0.04220183486238532,2272727.272727273,2300000.0,,,17.813711277982097,6.493753839851686,21.12873094572124,14.648420115681892,,,,,,,,,0,2300000.0
85,bellahadid,79,3200.0,54100000.0,1100000.0,2.06,1100000.0,3600000000.0,United Kingdom,0.0,1100000.0,2.033271719038817,0.02033271719038817,1125000.0,1100000.0,,,17.806344762301,8.071218539969863,22.004199682686252,13.910821646859095,,,,,,,,,0,1100000.0
86,tatawerneck,86,5600.0,53900000.0,959800.0,0.51,266500.0,5400000000.0,Brazil,0.0,959800.0,1.7807050092764378,0.017807050092764377,964285.7142857143,959800.0,,,17.8026410544321,8.630700432209832,22.409664790701825,13.774481250289465,,,,,,,,,0,959799.9999999999
87,beingsalmankhan,76,1200.0,53500000.0,1400000.0,1.33,693900.0,1600000000.0,India,0.0,1400000.0,2.6168224299065423,0.026168224299065422,1333333.3333333333,1400000.0,,,17.795192230557824,7.0909098220799835,21.193269466817146,14.151983508870947,,,,,,,,,0,1400000.0
88,robertdowneyjr,86,420.0,53400000.0,3000000.0,2.05,1100000.0,1300000000.0,United States,0.0,3000000.0,5.617977528089887,0.056179775280898875,3095238.095238095,3000000.0,,,17.793321322657015,6.042632833682381,20.985630102183134,14.914123179965662,,,,,,,,,0,3000000.0
89,sunnyleone,84,4600.0,53400000.0,764000.0,0.57,301300.0,3500000000.0,Unknown,0.0,764000.0,1.4307116104868913,0.014307116104868914,760869.5652173914,764000.0,,,17.793321322657015,8.434028950155469,21.976028805727495,13.546324377048325,,,,,,,,,0,764000.0
90,ladygaga,83,3600.0,53200000.0,1400000.0,1.02,531600.0,5100000000.0,United States,0.0,1400000.0,2.631578947368421,0.02631578947368421,1416666.6666666667,1400000.0,,,17.789568973108864,8.188966863648876,22.35250637687277,14.151983508870947,,,,,,,,,0,1400000.0
